epoch,mode,sample,requested_C_H_O,generated_C_H_O,species_key,base_atom_indices,base_bonds,attached_h_per_base_atom,in_species_training_reference,correct_for_condition,termination
300,sampled,1,"[0, 2, 0]","[0, 2, 1]",H2O,{0: 'O'},[],[2],True,False,STOP
300,sampled,2,"[0, 2, 0]","[0, 2, 1]",H2O,{0: 'O'},[],[2],True,False,STOP
300,sampled,3,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,4,"[0, 2, 0]","[1, 1, 0]",CH,{0: 'C'},[],[1],True,False,STOP
300,sampled,5,"[0, 2, 0]","[0, 2, 1]",H2O,{0: 'O'},[],[2],True,False,STOP
300,sampled,6,"[0, 2, 0]","[1, 2, 0]",CH2,{0: 'C'},[],[2],True,False,STOP
300,sampled,7,"[0, 2, 0]","[1, 2, 1]",CH2O,"{0: 'C', 1: 'O'}","[(0, 1, 2)]","[2, 0]",True,False,STOP
300,sampled,8,"[0, 2, 0]","[0, 2, 1]",H2O,{0: 'O'},[],[2],True,False,STOP
300,sampled,9,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,10,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,11,"[0, 2, 0]","[1, 2, 0]",CH2,{0: 'C'},[],[2],True,False,STOP
300,sampled,12,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,13,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,14,"[0, 2, 0]","[1, 2, 0]",CH2,{0: 'C'},[],[2],True,False,STOP
300,sampled,15,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,16,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,17,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,18,"[0, 2, 0]","[1, 2, 0]",CH2,{0: 'C'},[],[2],True,False,STOP
300,sampled,19,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,20,"[0, 2, 0]","[0, 2, 1]",H2O,{0: 'O'},[],[2],True,False,STOP
300,sampled,21,"[0, 2, 0]","[1, 2, 0]",CH2,{0: 'C'},[],[2],True,False,STOP
300,sampled,22,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,23,"[0, 2, 0]","[0, 2, 1]",H2O,{0: 'O'},[],[2],True,False,STOP
300,sampled,24,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,25,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,26,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,27,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,28,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,29,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,30,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,31,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,32,"[0, 2, 0]","[1, 2, 0]",CH2,{0: 'C'},[],[2],True,False,STOP
300,sampled,33,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,34,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,35,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,36,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,37,"[0, 2, 0]","[0, 1, 0]",H,{0: 'H'},[],[],True,False,STOP
300,sampled,38,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,39,"[0, 2, 0]","[1, 1, 1]",HCO,"{0: 'C', 1: 'O'}","[(0, 1, 2)]","[1, 0]",True,False,STOP
300,sampled,40,"[0, 2, 0]","[1, 2, 0]",CH2,{0: 'C'},[],[2],True,False,STOP
300,sampled,41,"[0, 2, 0]","[0, 1, 0]",H,{0: 'H'},[],[],True,False,STOP
300,sampled,42,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,43,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,44,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,45,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,46,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,47,"[0, 2, 0]","[1, 2, 1]",CH2O,"{0: 'C', 1: 'O'}","[(0, 1, 2)]","[2, 0]",True,False,STOP
300,sampled,48,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,49,"[0, 2, 0]","[0, 2, 1]",H2O,{0: 'O'},[],[2],True,False,STOP
300,sampled,50,"[0, 2, 0]","[0, 1, 0]",H,{0: 'H'},[],[],True,False,STOP
300,sampled,51,"[0, 2, 0]","[1, 1, 0]",CH,{0: 'C'},[],[1],True,False,STOP
300,sampled,52,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,53,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,54,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,55,"[0, 2, 0]","[0, 1, 0]",H,{0: 'H'},[],[],True,False,STOP
300,sampled,56,"[0, 2, 0]","[1, 2, 1]",CH2O,"{0: 'C', 1: 'O'}","[(0, 1, 2)]","[2, 0]",True,False,STOP
300,sampled,57,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,58,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,59,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,60,"[0, 2, 0]","[0, 2, 1]",H2O,{0: 'O'},[],[2],True,False,STOP
300,sampled,61,"[0, 2, 0]","[1, 2, 0]",CH2,{0: 'C'},[],[2],True,False,STOP
300,sampled,62,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,63,"[0, 2, 0]","[0, 2, 1]",H2O,{0: 'O'},[],[2],True,False,STOP
300,sampled,64,"[0, 2, 0]","[1, 2, 0]",CH2,{0: 'C'},[],[2],True,False,STOP
300,sampled,65,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,66,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,67,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,68,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,69,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,70,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,71,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,72,"[0, 2, 0]","[1, 0, 0]",C,{0: 'C'},[],[0],True,False,STOP
300,sampled,73,"[0, 2, 0]","[0, 1, 0]",H,{0: 'H'},[],[],True,False,STOP
300,sampled,74,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,75,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,76,"[0, 2, 0]","[1, 1, 1]",HCO,"{0: 'C', 1: 'O'}","[(0, 1, 2)]","[1, 0]",True,False,STOP
300,sampled,77,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,78,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,79,"[0, 2, 0]","[0, 2, 1]",H2O,{0: 'O'},[],[2],True,False,STOP
