epoch,mode,sample,requested_C_H_O,generated_C_H_O,species_key,base_atom_indices,base_bonds,attached_h_per_base_atom,in_species_training_reference,correct_for_condition,termination
200,greedy,1,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
200,greedy,2,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
200,greedy,3,"[0, 1, 0]","[0, 1, 0]",H,{0: 'H'},[],[],True,True,STOP
200,greedy,4,"[0, 0, 1]","[0, 0, 1]",O,{0: 'O'},[],[0],True,True,STOP
200,greedy,5,"[0, 1, 1]","[0, 1, 1]",OH,{0: 'O'},[],[1],True,True,STOP
200,greedy,6,"[0, 2, 1]","[0, 2, 1]",H2O,{0: 'O'},[],[2],True,True,STOP
200,greedy,7,"[0, 1, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,False,STOP
200,greedy,8,"[0, 2, 2]","[0, 2, 2]",H2O2,"{0: 'O', 1: 'O'}","[(0, 1, 1)]","[1, 1]",True,True,STOP
200,greedy,9,"[1, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
200,greedy,10,"[1, 1, 1]","[1, 0, 0]",C,{0: 'C'},[],[0],True,False,STOP
200,greedy,11,"[1, 2, 1]","[1, 1, 0]",CH,{0: 'C'},[],[1],True,False,STOP
200,greedy,12,"[1, 4, 0]","[1, 4, 0]",CH4,{0: 'C'},[],[4],True,True,STOP
200,greedy,13,"[1, 3, 0]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,True,STOP
200,greedy,14,"[1, 3, 2]","[1, 3, 1]",CH3O,"{0: 'C', 1: 'O'}","[(0, 1, 1)]","[3, 0]",True,False,STOP
200,greedy,15,"[1, 2, 0]","[1, 2, 0]",CH2,{0: 'C'},[],[2],True,True,STOP
200,greedy,16,"[1, 1, 0]","[1, 1, 0]",CH,{0: 'C'},[],[1],True,True,STOP
200,greedy,17,"[1, 0, 0]","[1, 0, 0]",C,{0: 'C'},[],[0],True,True,STOP
200,greedy,18,"[1, 3, 1]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
200,greedy,19,"[1, 4, 1]","[1, 4, 0]",CH4,{0: 'C'},[],[4],True,False,STOP
200,greedy,20,"[2, 6, 0]","[2, 6, 0]",C2H6,"{0: 'C', 1: 'C'}","[(0, 1, 1)]","[3, 3]",True,True,STOP
200,greedy,21,"[2, 5, 0]","[2, 5, 0]",C2H5,"{0: 'C', 1: 'C'}","[(0, 1, 1)]","[3, 2]",True,True,STOP
200,greedy,22,"[2, 4, 0]","[1, 4, 0]",CH4,{0: 'C'},[],[4],True,False,STOP
200,greedy,23,"[2, 3, 0]","[1, 4, 0]",CH4,{0: 'C'},[],[4],True,False,STOP
200,greedy,24,"[2, 2, 0]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
200,greedy,25,"[2, 1, 0]","[1, 1, 0]",CH,{0: 'C'},[],[1],True,False,STOP
200,greedy,26,"[2, 1, 1]","[1, 1, 0]",CH,{0: 'C'},[],[1],True,False,STOP
200,greedy,27,"[2, 2, 1]","[2, 2, 1]",CH2CO,"{0: 'C', 1: 'C', 2: 'O'}","[(0, 1, 2), (1, 2, 2)]","[2, 0, 0]",True,True,STOP
200,greedy,28,"[2, 3, 1]","[1, 3, 1]",CH3O,"{0: 'C', 1: 'O'}","[(0, 1, 1)]","[3, 0]",True,False,STOP
200,greedy,29,"[2, 4, 1]","[2, 3, 1]",CH3CO,"{0: 'C', 1: 'C', 2: 'O'}","[(0, 1, 1), (1, 2, 2)]","[3, 0, 0]",True,False,STOP
