11:23:35 | STAGE II | fixed network | checkpoint=../stageI/output_stage1/20260916_105526_866421/trained_growth_gnn.pt | epoch=300
11:23:35 | Compositions=29 | samples/composition=100 | temperature=1.0 | seed=28680
11:23:35 | New candidates satisfy the requested formula and construction masks; they are not confirmed stable or chemically important species.
11:23:35 | C,H,O=(0, 2, 0) | reference=54 | candidate samples=0 | wrong formula=46 | step limit=0 | unique=1
11:23:35 | C,H,O=(0, 0, 2) | reference=63 | candidate samples=1 | wrong formula=36 | step limit=0 | unique=2
11:23:35 | C,H,O=(0, 1, 0) | reference=52 | candidate samples=0 | wrong formula=48 | step limit=0 | unique=1
11:23:35 | C,H,O=(0, 0, 1) | reference=67 | candidate samples=0 | wrong formula=33 | step limit=0 | unique=1
11:23:35 | C,H,O=(0, 1, 1) | reference=54 | candidate samples=0 | wrong formula=46 | step limit=0 | unique=1
11:23:35 | C,H,O=(0, 2, 1) | reference=69 | candidate samples=0 | wrong formula=31 | step limit=0 | unique=1
11:23:35 | C,H,O=(0, 1, 2) | reference=48 | candidate samples=0 | wrong formula=52 | step limit=0 | unique=1
11:23:35 | C,H,O=(0, 2, 2) | reference=79 | candidate samples=0 | wrong formula=21 | step limit=0 | unique=1
11:23:35 | C,H,O=(1, 0, 2) | reference=66 | candidate samples=0 | wrong formula=34 | step limit=0 | unique=1
11:23:35 | C,H,O=(1, 1, 1) | reference=60 | candidate samples=0 | wrong formula=40 | step limit=0 | unique=1
11:23:35 | C,H,O=(1, 2, 1) | reference=32 | candidate samples=3 | wrong formula=65 | step limit=0 | unique=2
11:23:35 | C,H,O=(1, 4, 0) | reference=87 | candidate samples=0 | wrong formula=13 | step limit=0 | unique=1
11:23:35 | C,H,O=(1, 3, 0) | reference=59 | candidate samples=0 | wrong formula=41 | step limit=0 | unique=1
11:23:35 | C,H,O=(1, 3, 2) | reference=51 | candidate samples=3 | wrong formula=46 | step limit=0 | unique=2
11:23:35 | C,H,O=(1, 2, 0) | reference=42 | candidate samples=0 | wrong formula=58 | step limit=0 | unique=1
11:23:35 | C,H,O=(1, 1, 0) | reference=43 | candidate samples=0 | wrong formula=57 | step limit=0 | unique=1
11:23:35 | C,H,O=(1, 0, 0) | reference=54 | candidate samples=0 | wrong formula=46 | step limit=0 | unique=1
11:23:35 | C,H,O=(1, 3, 1) | reference=61 | candidate samples=0 | wrong formula=39 | step limit=0 | unique=2
11:23:35 | C,H,O=(1, 4, 1) | reference=71 | candidate samples=0 | wrong formula=29 | step limit=0 | unique=1
11:23:36 | C,H,O=(2, 6, 0) | reference=85 | candidate samples=0 | wrong formula=15 | step limit=0 | unique=1
11:23:36 | C,H,O=(2, 5, 0) | reference=77 | candidate samples=0 | wrong formula=23 | step limit=0 | unique=1
11:23:36 | C,H,O=(2, 4, 0) | reference=17 | candidate samples=0 | wrong formula=83 | step limit=0 | unique=1
11:23:36 | C,H,O=(2, 3, 0) | reference=25 | candidate samples=0 | wrong formula=75 | step limit=0 | unique=1
11:23:36 | C,H,O=(2, 2, 0) | reference=35 | candidate samples=0 | wrong formula=65 | step limit=0 | unique=1
11:23:36 | C,H,O=(2, 1, 0) | reference=52 | candidate samples=0 | wrong formula=48 | step limit=0 | unique=1
11:23:36 | C,H,O=(2, 1, 1) | reference=47 | candidate samples=0 | wrong formula=53 | step limit=0 | unique=1
11:23:36 | C,H,O=(2, 2, 1) | reference=37 | candidate samples=0 | wrong formula=63 | step limit=0 | unique=1
11:23:36 | C,H,O=(2, 3, 1) | reference=46 | candidate samples=0 | wrong formula=54 | step limit=0 | unique=2
11:23:36 | C,H,O=(2, 4, 1) | reference=48 | candidate samples=1 | wrong formula=51 | step limit=0 | unique=2
11:23:36 | FINISHED | attempts=2900 | reference structures=31 | new candidate structures=4 | elapsed=1.2s
11:23:36 | Saved exploration outputs: output_stage2/exploration_III/runs/run_005
