source,degeneracy_id,formula,is_ring,used_in_objective,log_P_exist,P_exist,individual_loss,C#C,C-C,C-O,C=C,C=O,O-O,O=O,C#O
positive,C10H19O_001,C10H19O,False,True,-0.14912847639084448,0.8614584307189173,0.01919376641886505,0,9,0,0,1,0,0,0
positive,C10H19_001,C10H19,False,True,-0.13519692891222174,0.8735438687046296,0.01599115314219195,0,8,0,1,0,0,0,0
positive,C10H20O3_001,C10H20O3,False,True,-0.19468013397878567,0.8230978970025609,0.03129435404491657,0,9,1,0,1,1,0,0
positive,C10H20O_001,C10H20O,False,True,-0.14912847639084448,0.8614584307189173,0.01919376641886505,0,9,0,0,1,0,0,0
positive,C10H20O_002,C10H20O,True,True,-0.17336354471453824,0.8408318792881873,0.025334490650930193,0,9,2,0,0,0,0,0
positive,C10H20_001,C10H20,False,True,-0.13519692891222174,0.8735438687046296,0.01599115314219195,0,8,0,1,0,0,0,0
positive,C10H21O2_001,C10H21O2,False,True,-0.18827209677380982,0.8283892745152597,0.0294502411013989,0,9,1,0,0,1,0,0
positive,C10H21O2_002,C10H21O2,False,True,-0.18827209677380982,0.8283892745152597,0.0294502411013989,0,9,1,0,0,1,0,0
positive,C10H21O4_001,C10H21O4,False,True,-0.23382375436175107,0.7915013022554824,0.04347170696115969,0,9,2,0,0,2,0,0
positive,C10H21O_001,C10H21O,False,True,-0.1580419919502034,0.8538139279037524,0.02137036767492929,0,9,1,0,0,0,0,0
positive,C10H21_001,C10H21,False,True,-0.1427204391858686,0.8669964132420541,0.017689954090478438,0,9,0,0,0,0,0,0
positive,C10H22O2_001,C10H22O2,False,True,-0.18827209677380982,0.8283892745152597,0.0294502411013989,0,9,1,0,0,1,0,0
positive,C10H22_001,C10H22,False,True,-0.1427204391858686,0.8669964132420541,0.017689954090478438,0,9,0,0,0,0,0,0
positive,C11H21O_001,C11H21O,False,True,-0.1649863029670521,0.8479053177954535,0.023132792354901986,0,10,0,0,1,0,0,0
positive,C11H21_001,C11H21,False,True,-0.15105475548842937,0.859800618567449,0.019655866554069912,0,9,0,1,0,0,0,0
positive,C11H22O3_001,C11H22O3,False,True,-0.21053796055499333,0.8101483008904983,0.03604366765476478,0,10,1,0,1,1,0,0
positive,C11H22O_001,C11H22O,False,True,-0.1649863029670521,0.8479053177954535,0.023132792354901986,0,10,0,0,1,0,0,0
positive,C11H22O_002,C11H22O,True,True,-0.18922137129074587,0.8276032788087296,0.029720629477500607,0,10,2,0,0,0,0,0
positive,C11H22_001,C11H22,False,True,-0.15105475548842937,0.859800618567449,0.019655866554069912,0,9,0,1,0,0,0,0
positive,C11H23O2_001,C11H23O2,False,True,-0.20412992335001748,0.8153564304664506,0.03409324777009071,0,10,1,0,0,1,0,0
positive,C11H23O2_002,C11H23O2,False,True,-0.20412992335001748,0.8153564304664506,0.03409324777009071,0,10,1,0,0,1,0,0
positive,C11H23O4_001,C11H23O4,False,True,-0.24968158093795867,0.7790488075720363,0.04881942943533903,0,10,2,0,0,2,0,0
positive,C11H23O_001,C11H23O,False,True,-0.17389981852641107,0.8403810840567794,0.025478198326888937,0,10,1,0,0,0,0,0
positive,C11H23_001,C11H23,False,True,-0.15857826576207623,0.8533561726060651,0.02150441211274217,0,10,0,0,0,0,0,0
positive,C11H24O2_001,C11H24O2,False,True,-0.20412992335001748,0.8153564304664506,0.03409324777009071,0,10,1,0,0,1,0,0
positive,C11H24_001,C11H24,False,True,-0.15857826576207623,0.8533561726060651,0.02150441211274217,0,10,0,0,0,0,0,0
positive,C12H23O_001,C12H23O,False,True,-0.1808441295432597,0.8345654326533499,0.0273685960731733,0,11,0,0,1,0,0,0
positive,C12H23_001,C12H23,False,True,-0.166912582064637,0.846273587593495,0.023631809871374847,0,10,0,1,0,0,0,0
positive,C12H24O3_001,C12H24O3,False,True,-0.22639578713120093,0.7974024375787213,0.041045772299043916,0,11,1,0,1,1,0,0
positive,C12H24O_001,C12H24O,False,True,-0.1808441295432597,0.8345654326533499,0.0273685960731733,0,11,0,0,1,0,0,0
positive,C12H24O_002,C12H24O,True,True,-0.20507919786695347,0.814582800636425,0.03437953781983173,0,11,2,0,0,0,0,0
positive,C12H24_001,C12H24,False,True,-0.166912582064637,0.846273587593495,0.023631809871374847,0,10,0,1,0,0,0,0
positive,C12H25O2_001,C12H25O2,False,True,-0.21998774992622508,0.8025286289371742,0.03899494238943221,0,11,1,0,0,1,0,0
positive,C12H25O2_002,C12H25O2,False,True,-0.21998774992622508,0.8025286289371742,0.03899494238943221,0,11,1,0,0,1,0,0
positive,C12H25O4_001,C12H25O4,False,True,-0.26553940751416627,0.7667922249147605,0.054385866360207646,0,11,2,0,0,2,0,0
positive,C12H25O_001,C12H25O,False,True,-0.18975764510261867,0.8271595758274628,0.02987381222814258,0,11,1,0,0,0,0,0
positive,C12H25_001,C12H25,False,True,-0.17443609233828383,0.8399305305102382,0.02562223506273377,0,11,0,0,0,0,0,0
positive,C12H26O2_001,C12H26O2,False,True,-0.21998774992622508,0.8025286289371742,0.03899494238943221,0,11,1,0,0,1,0,0
positive,C12H26_001,C12H26,False,True,-0.17443609233828383,0.8399305305102382,0.02562223506273377,0,11,0,0,0,0,0,0
