stage,rank,A,E_ref,k,total_loss,positive_loss,separation_loss,regularization_loss,mean_positive_log_score,pseudo_log_score_statistic,score_gap
random,1,8.335817860967872,192.18521002878234,510.7619943774021,0.053476827843852694,0.052793998269865916,0.0,0.0006828295739867776,-0.052793998269865916,-0.1528640021406783,0.10007000387081239
random,2,4.294008694782677,309.1578776739778,530.1364989633416,0.053723613990372086,0.05258285076363216,2.996616053911605e-05,0.001118288606335593,-0.05258285076363216,-0.15255288460309305,0.09997003383946089
random,3,8.599129580270617,246.54529017596798,1037.957712605463,0.05374138473591763,0.053678709843688825,0.0,6.267489222879999e-05,-0.053678709843688825,-0.15470569504825438,0.10102698520456554
random,4,6.965129691466116,222.52538856514138,555.6325644418401,0.053882371790194956,0.05331699083268109,0.0,0.0005653809575138645,-0.05331699083268109,-0.1543097452641427,0.1009927544314616
random,5,5.637336333704703,344.53738642497916,997.1323210421318,0.05402047862602643,0.05367278247566165,0.0,0.00034769615036478083,-0.05367278247566165,-0.15497447001724612,0.10130168754158447
random,6,6.27876847875707,191.90377254496826,366.2113435888786,0.0542093522657251,0.05278401476769955,0.0,0.0014253374980255503,-0.05278401476769955,-0.15343528372563967,0.10065126895794012
random,7,5.845977972208752,263.99202609361976,650.6949675877116,0.05421129706481132,0.05063669770005869,0.004113877539147465,0.0004891912103920321,-0.05063669770005869,-0.14652282016091123,0.09588612246085254
random,8,4.826976976340663,230.8849088692242,392.44072679577437,0.05428324711442792,0.05155242659498985,0.0016757553057495378,0.0014740040401259198,-0.05155242659498985,-0.14987667128924032,0.09832424469425047
random,9,11.923454879257122,189.39490383396455,907.2613593275848,0.05441221978510393,0.050462915875456094,0.004929774378098634,0.00025197312607386446,-0.050462915875456094,-0.14553314149735747,0.09507022562190137
random,10,16.942321628435174,142.79511703012867,589.3448757262815,0.05457169942947406,0.05139969248912304,0.0027511337156487237,0.0011086566536144845,-0.05139969248912304,-0.14864855877347433,0.09724886628435128
random,11,6.031539113914647,216.67984885712733,462.9805819374846,0.05458448540688932,0.05016176995995061,0.004624310934789599,0.0009544822458465131,-0.05016176995995061,-0.14553745902516102,0.0953756890652104
random,12,5.92805864561761,239.03309424713703,553.5140897673631,0.05464823891307397,0.04972068966150878,0.005670255496780574,0.000674857628979765,-0.04972068966150878,-0.1440504341647282,0.09432974450321943
random,13,3.6137125945998982,352.57279729934066,502.1701321547308,0.05465501211273076,0.05311845268480436,0.0,0.0015365594279263934,-0.05311845268480436,-0.15433050282861527,0.1012120501438109
random,14,4.52411801691367,358.04047163599546,766.8551678404976,0.05471263946612141,0.049841936360331004,0.005519797504315069,0.0007308549775541071,-0.049841936360331004,-0.14432213885601594,0.09448020249568494
random,15,2.902627124439033,556.8326033424477,637.9176662005174,0.054748015136868396,0.05160947379308161,0.0013651166795813074,0.002114703834100806,-0.05160947379308161,-0.15024435711350032,0.0986348833204187
random,16,6.171072832523217,189.82222468345938,371.31513632644317,0.05478047175282549,0.05019609412235547,0.004213849871757838,0.001423990226651636,-0.05019609412235547,-0.14598224425059764,0.09578615012824217
random,17,7.244728615184991,167.21691858185906,341.32344689510853,0.05480032867547389,0.05034505872798548,0.0038057242169570737,0.0016009767847705997,-0.05034505872798548,-0.1465393345110284,0.09619427578304293
random,18,11.500435403784303,198.39480790730263,917.7822162490431,0.05482320008061941,0.05462529364366567,0.0,0.00019790643695374307,-0.05462529364366567,-0.15746534289857558,0.10284004925490992
random,19,3.658171410435518,234.68091304143397,312.23225132573276,0.05493599389678282,0.05132134423170116,0.0015842167053324169,0.0024264871360823474,-0.05132134423170116,-0.14973712752636875,0.09841578329466759
random,20,8.832735802134225,222.4001091322649,793.7391163241277,0.054978789796683726,0.05482043960847771,0.0,0.00015835018820601428,-0.05482043960847771,-0.15818191374172286,0.10336147413324515
random,21,7.842047415678245,384.5804656241777,3035.9621031791794,0.054982405283150244,0.053628353682501406,0.0,0.0013540516006488377,-0.053628353682501406,-0.15415043288139268,0.10052207919889128
random,22,2.8203034231647974,510.90220791032647,550.0188714105243,0.05501183557863021,0.05276892300722799,0.0,0.00224291257140222,-0.05276892300722799,-0.1536783828055737,0.1009094597983457
random,23,4.23466075658069,170.03510636887904,234.73889911358128,0.055028064369627594,0.05175124382051039,0.0001542228576207061,0.003161153405901673,-0.05175124382051039,-0.15159702096288968,0.0998457771423793
random,24,12.11124087240215,226.42707055961307,1839.532365430838,0.05504766708188348,0.05020645361097891,0.005805140186481816,0.000487358331043208,-0.05020645361097891,-0.1444013134244971,0.09419485981351819
random,25,4.8977863180301915,158.6530989516445,236.42172365620337,0.055064536316813815,0.05133421539729397,0.0009802628290318527,0.0029951237977459575,-0.05133421539729397,-0.15035395256826212,0.09901973717096815
random,26,5.3991282753652925,151.56326126248263,232.22874301049723,0.05508693428654254,0.0521091675724678,0.0,0.0029777667140747396,-0.0521091675724678,-0.15261930000142862,0.10051013242896081
random,27,7.92814003360586,392.3555484494348,3371.2727059875647,0.05512340131444489,0.05298133302057432,0.0007189404456820758,0.0016028629596090106,-0.05298133302057432,-0.15226239257489224,0.09928105955431793
random,28,10.069226014319769,268.9432662122816,2142.2277365296595,0.05512549634698783,0.05037418713719739,0.005545212390593593,0.0005923999168452398,-0.05037418713719739,-0.1448289747466038,0.09445478760940641
random,29,7.852549480615451,268.8495297934435,1218.0671242209796,0.05519977991690336,0.04838315232799152,0.00894300478903469,0.00010937399713582939,-0.04838315232799152,-0.13944014753895684,0.09105699521096532
random,30,21.40841471672844,170.14879592569397,2095.957197488422,0.055200981572832604,0.05202803077387,0.0022990651181866995,0.0014486519603225832,-0.05202803077387,-0.1497289656556833,0.0977009348818133
random,31,4.8475066789503245,710.8354880791918,2560.5855600375166,0.055215089871511136,0.05245249012487748,0.0008133675342318902,0.002152574095959736,-0.05245249012487748,-0.1516391225906456,0.09918663246576812
random,32,7.128646736634522,137.17100733878885,244.8060016883585,0.055254814202792706,0.05041336306532119,0.0028453861800457336,0.0027074115024372162,-0.05041336306532119,-0.14756797688527545,0.09715461381995427
random,33,6.381876641309397,208.07521089597552,423.16477085300136,0.05528513972138767,0.054209969000712156,0.0,0.0010751707206755098,-0.054209969000712156,-0.15728021337898773,0.10307024437827558
random,34,6.474285776872836,134.74671129955942,227.59731770412867,0.05537508819306655,0.05045583688853742,0.002531605709894691,0.003020547022108113,-0.05045583688853742,-0.14792423117864273,0.09746839429010531
random,35,11.551559265323903,106.63493268139686,214.48760438763932,0.05539772544466872,0.051143302357831086,0.001058166301507249,0.0034607983607071943,-0.051143302357831086,-0.15008513605632384,0.09894183369849276
random,36,16.86399252190522,113.60115432128337,301.0175851278774,0.05542028132642463,0.05096308838075999,0.0023995534758835535,0.002657527838751979,-0.05096308838075999,-0.14856353490487645,0.09760044652411645
random,37,5.8167961918822195,160.89566937213053,275.5149058948217,0.05544386006553505,0.049609556890400856,0.004654322601688077,0.0023435612238681316,-0.049609556890400856,-0.1449552342887128,0.09534567739831193
random,38,13.330207216147626,196.1939447712229,1353.524709126243,0.05547280869869209,0.04854558353119762,0.008763483161041447,0.0003546127967133878,-0.04854558353119762,-0.13978210037015618,0.09123651683895856
random,39,4.4670481258223,467.91791620184597,1185.437818834824,0.055473370921774144,0.048605030459964005,0.007989875802391633,0.0008759336100164122,-0.048605030459964005,-0.14061515465757238,0.09201012419760837
random,40,6.7911303155496565,374.1420677233752,2019.4707259219638,0.05548876268335607,0.049352650666550146,0.007258152316159672,0.0006924977796861672,-0.049352650666550146,-0.14209449835039048,0.09274184768384033
random,41,3.5923278120013733,708.9906189189581,1255.0044976256995,0.05552556042530494,0.04981418458997241,0.005162594217459432,0.001839430172237954,-0.04981418458997241,-0.144651590372513,0.09483740578254057
random,42,4.591820243069502,703.7057152743045,2221.0743133801802,0.055533721284456446,0.05105215587967223,0.0033494968695253757,0.0019694427526401807,-0.05105215587967223,-0.14770265901014687,0.09665050313047463
random,43,3.655804597747094,653.9495773254329,1198.8720348920906,0.055540800019435656,0.04947593863224187,0.005882877464649494,0.0016527032887066679,-0.04947593863224187,-0.14359306116759238,0.09411712253535051
random,44,15.354635797648019,180.4646965839157,1311.7142293871116,0.055568432483190947,0.048648963559565404,0.008538178430046311,0.0005158351010908102,-0.048648963559565404,-0.1401107851295191,0.0914618215699537
random,45,36.265036821679374,119.59720251111602,940.9893243117808,0.05562154122108479,0.052710115378530036,0.0005364368226399574,0.0025090982255747867,-0.052710115378530036,-0.1521736785558901,0.09946356317736005
random,46,13.419763746677917,99.86993235763148,208.45949315227074,0.05562463135130345,0.051111317312608075,0.0010111016678857887,0.0037549877877810396,-0.051111317312608075,-0.15010021564472228,0.09898889833211422
random,47,2.94154369129427,280.1930001283202,325.0310921392019,0.05564420194498112,0.05031480356423473,0.003419211177147524,0.002764989997885751,-0.05031480356423473,-0.14689559238708721,0.09658078882285248
random,48,28.07064377157503,105.76743797210341,377.28661668161055,0.055653302752100474,0.052324539319016275,0.000301900078420389,0.0031023383742689115,-0.052324539319016275,-0.1520226392405959,0.09969809992157962
random,49,21.048510636642053,151.23320412525894,1141.5478703799388,0.055672690438128544,0.049443582695564654,0.006918016413167166,0.0010405954326885168,-0.049443582695564654,-0.1425255662823975,0.09308198358683284
random,50,2.605761234471898,752.2954443240646,715.7849180030977,0.055683724413346625,0.05037267773722861,0.0033938564516375336,0.002765654337389862,-0.05037267773722861,-0.1469788212855911,0.09660614354836247
random,51,11.751641961365051,166.15142650881288,617.7357022022671,0.05571697461788413,0.04741861978761076,0.010254840085794512,0.0006072247659274836,-0.04741861978761076,-0.13716377970181626,0.0897451599142055
random,52,26.392804941591656,115.74842359661254,500.7745870682494,0.05579262248112332,0.050910045409545135,0.003407185343947322,0.0023271880636176944,-0.050910045409545135,-0.14750286006559782,0.09659281465605268
random,53,8.251063058427896,104.6621947119836,189.41020837158084,0.055793022772166835,0.05039182759290952,0.0019826277975808493,0.003914224331071675,-0.05039182759290952,-0.14840919979532868,0.09801737220241916
random,54,2.083082699426836,609.5538009603981,442.18674552666573,0.05580826684007175,0.05146707064134373,0.0009490222445919239,0.003629429515284075,-0.05146707064134373,-0.1505180483967518,0.09905097775540808
random,55,2.6515981447710564,232.87700276344566,249.1969711076666,0.05587621881944791,0.05116097253157374,0.0012777417154093001,0.0037569400013171914,-0.05116097253157374,-0.14988323081616445,0.0987222582845907
random,56,2.812848220487966,394.6223251339491,454.1768898916671,0.0558791260894647,0.049200305728991436,0.005829216308523802,0.0023069081290804094,-0.049200305728991436,-0.14337108942046764,0.0941707836914762
random,57,10.69664988459486,136.1276185376353,331.63588249318155,0.05589385787795081,0.04818443065514237,0.007816399276371774,0.0018471277655296072,-0.04818443065514237,-0.1403680313787706,0.09218360072362823
random,58,2.967786791564808,493.8698236828198,559.9656955729951,0.05592758130980686,0.05386716623877099,0.0,0.0020604150710358694,-0.05386716623877099,-0.15676578268854996,0.10289861644977896
random,59,3.943169284184026,749.4196829857577,1668.7327657371497,0.05593086838329498,0.049454599047715896,0.006013162070718114,0.001966397782540502,-0.049454599047715896,-0.1434414369769978,0.09398683792928189
random,60,4.211841457306852,182.38860777740692,246.99378008136637,0.05599770314029203,0.053046873802306944,0.0,0.002950829337985084,-0.053046873802306944,-0.15517949262671069,0.10213261882440375
random,61,4.327297241675134,637.198802097539,1733.4779042779471,0.05602264490700343,0.04879778338477995,0.007537486737155291,0.0015717464693570105,-0.04879778338477995,-0.14126029664762466,0.09246251326284471
random,62,12.28562947141118,91.90775230805677,181.49658843379336,0.05603559315291699,0.05168153368044697,0.0,0.0043540594724700244,-0.05168153368044697,-0.15228692400710236,0.10060539032665539
random,63,3.053451596441689,626.3115299531634,828.0055462350834,0.056047764482224254,0.04844152770865102,0.007495314832071831,0.001984750649519363,-0.04844152770865102,-0.14094621287657919,0.09250468516792817
random,64,16.854608038685654,111.42780884561178,297.5087735860081,0.05612665340071383,0.04930626459863069,0.0054630154777249584,0.0027231271937894186,-0.04930626459863069,-0.14384324912090574,0.09453698452227505
