source,degeneracy_id,formula,is_ring,used_in_objective,log_P_exist,P_exist,individual_loss,C#C,C-C,C-O,C=C,C=O,O-O,O=O,C#O
positive,C10H19O_001,C10H19O,False,True,-0.41882607015126905,0.6578185996078859,0.1170881107743083,0,9,0,0,1,0,0,0
positive,C10H19_001,C10H19,False,True,-0.3794731874368843,0.6842217709073587,0.09971588996888466,0,8,0,1,0,0,0,0
positive,C10H20O3_001,C10H20O3,False,True,-0.5154007251451965,0.5972612090728112,0.16219853371749388,0,9,1,0,1,1,0,0
positive,C10H20O_001,C10H20O,False,True,-0.41882607015126905,0.6578185996078859,0.1170881107743083,0,9,0,0,1,0,0,0
positive,C10H20O_002,C10H20O,True,True,-0.47487240910253986,0.6219644083996761,0.14291090851660684,0,9,2,0,0,0,0,0
positive,C10H20_001,C10H20,False,True,-0.3794731874368843,0.6842217709073587,0.09971588996888466,0,8,0,1,0,0,0,0
positive,C10H21O2_001,C10H21O2,False,True,-0.48600114874159017,0.6150811007438811,0.1481625590045422,0,9,1,0,0,1,0,0
positive,C10H21O2_002,C10H21O2,False,True,-0.48600114874159017,0.6150811007438811,0.1481625590045422,0,9,1,0,0,1,0,0
positive,C10H21O4_001,C10H21O4,False,True,-0.5825758037355175,0.5584580340645663,0.1949593076821277,0,9,2,0,0,2,0,0
positive,C10H21O_001,C10H21O,False,True,-0.4321494514251013,0.6491123586685337,0.12312213683915976,0,9,1,0,0,0,0,0
positive,C10H21_001,C10H21,False,True,-0.3894264937476627,0.6774452822153586,0.10404154596512966,0,9,0,0,0,0,0,0
positive,C10H22O2_001,C10H22O2,False,True,-0.48600114874159017,0.6150811007438811,0.1481625590045422,0,9,1,0,0,1,0,0
positive,C10H22_001,C10H22,False,True,-0.3894264937476627,0.6774452822153586,0.10404154596512966,0,9,0,0,0,0,0,0
positive,C11H21O_001,C11H21O,False,True,-0.462095680567676,0.6299620619305413,0.13692807561069656,0,10,0,0,1,0,0,0
positive,C11H21_001,C11H21,False,True,-0.4227427978532913,0.6552471424120536,0.11885453281505484,0,9,0,1,0,0,0,0
positive,C11H22O3_001,C11H22O3,False,True,-0.5586703355616035,0.5719690854027437,0.1832104638509637,0,10,1,0,1,1,0,0
positive,C11H22O_001,C11H22O,False,True,-0.462095680567676,0.6299620619305413,0.13692807561069656,0,10,0,0,1,0,0,0
positive,C11H22O_002,C11H22O,True,True,-0.5181420195189468,0.5956261823493934,0.16351818440132607,0,10,2,0,0,0,0,0
positive,C11H22_001,C11H22,False,True,-0.4227427978532913,0.6552471424120536,0.11885453281505484,0,9,0,1,0,0,0,0
positive,C11H23O2_001,C11H23O2,False,True,-0.5292707591579972,0.5890343610078689,0.16889275643221063,0,10,1,0,0,1,0,0
positive,C11H23O2_002,C11H23O2,False,True,-0.5292707591579972,0.5890343610078689,0.16889275643221063,0,10,1,0,0,1,0,0
positive,C11H23O4_001,C11H23O4,False,True,-0.6258454141519245,0.534809102160834,0.21640257143240937,0,10,2,0,0,2,0,0
positive,C11H23O_001,C11H23O,False,True,-0.4754190618415083,0.6216245027659208,0.14316801690713662,0,10,1,0,0,0,0,0
positive,C11H23_001,C11H23,False,True,-0.4326961041640697,0.6487576165889679,0.12337121190426246,0,10,0,0,0,0,0,0
